reward_address,reward,total_weights,total_tokens
c50fb7c1b763c2bff1daf1d678941ba8e61066a1feba27660a120033,12207.662169776924,23076,246
37d5b264986b09394746485e53fdb87bafebd316fc34069e0e96b92c,737.9826974709139,1395,15
65d569cce3ff9964ab5f4be91ffb2a11f7d7c9c16793a204aed7fda2,723.6991613908317,1368,15
8a92cbbb482843587e1ef46b4836ed2a916e25fc97889f6dc499a782,587.2120388478239,1110,15
a1d64aa969a5fcb17141d692f3bd3d98613939f641d527eda110d774,292.0189598594584,552,6
Bis1ctnKxRYxyiPm6DPECpe9X4hWVkPNSsagj,158.70595644535783,300,3
80c6925f153fab19a8534f181b01c4a55f6dd99a65e07a2c1043609b,155.53183731645066,294,3
3411bf287e7e30326c82b6f152c2712857598d14454daad42d93fd6a,149.18359905863636,282,3
Bis1Lgev7fKKSMK8GtvmxQ6axoAqU9AC1bciE,144.42242036527563,273,3
Bis1TuBsovjuRTEP7C9wuHgp6A4ic8D7a75fD,141.24830123636846,267,3
40d4401ff00a6a311e9672c11b806613da4d4fe36627b9d5770a5d1b,131.725943849647,249,3
8a78988f11ba7ab48fe68d9892d7b94d15f446838318be855a8e953b,128.55182472073983,243,3
454ad3a4b91e8a983838d8909b5c875e320eb3600698b97f919e8f7a,126.96476515628625,240,3
7b024421dddd7386b330eef8ba29aad7c760218f02eba7c14f0e2974,95.2235738672147,180,3
Bis1PGTBDNezvbYfPWBJ3hsUHfqgrMjbhdqFb,87.81729589976466,166,2
c751c0650c44086d782a16677eb1476e9d5c43c2db19d80b1a942e91,48.66982664324306,92,1
1cdb71bd71efa771b6a6c82d6206a35ca12c3b128fe3ae9cb0183aaf,42.85060824024661,81,0
2d2318305562e2339554aaaf199150e34f79de5f2ac57b53db55d00a,0.5290198548178594,1,0
